"Thumbs"," Fingers","Actions"
"","1R","[KB]<Backspace>"
"1","1R","[KB]<Delete>"
"","1M","[KB]<Space>"
"","1L","[KB]<Tab>"
"1","1L","[KB]<Escape>"
"","2R","[KB]i"
"1","2R","[KB]<LeftArrow>"
"","1R 2R","[KB]1"
"1","1R 2R","[KB]<F1>"
"","1M 2R","[KB]c"
"","1L 2R","[KB]-"
"12","1R 2R","[KB]<L-Alt>!</L-Alt>"
"12","1M 2R","[KB]<L-Alt>C</L-Alt>"
"","2M","[KB]e"
"1","2M","[KB]<UpArrow>"
"","1R 2M","[KB]2"
"1","1R 2M","[KB]<F2>"
"","1M 2M","[KB]d"
"","1L 2M","[KB]<Return>"
"12","1R 2M","[KB]<L-Alt>@</L-Alt>"
"","2L","[KB]o"
"1","2L","[KB]<RightArrow>"
"","1R 2L","[KB]3"
"1","1R 2L","[KB]<F3>"
"","1M 2L","[KB]u"
"","1L 2L","[KB]."
"12","1R 2L","[KB]<L-Alt>#</L-Alt>"
"","3R","[KB]n"
"1","3R","[KB]<PageUp>"
"","1R 3R","[KB]4"
"1","1R 3R","[KB]<F4>"
"","1M 3R","[KB]f"
"","1L 3R","[KB]("
"12","1R 3R","[KB]<L-Alt>$</L-Alt>"
"","2R 3R","[KB]in"
"","1R 2R 3R","[KB]0"
"1","1R 2R 3R","[KB]<F10>"
"","1M 2R 3R","[KB]b"
"","1L 2R 3R","[KB]["
"12","1R 2R 3R","[KB]<L-Alt>)</L-Alt>"
"","2M 3R","[KB]en"
"","1R 2M 3R","[KB]|"
"","1M 2M 3R","[KB]nd"
"","1L 2M 3R","[KB]/"
"","2L 3R","[KB]on"
"","1R 2L 3R","[KB]^"
"","1M 2L 3R","[KB]of"
"","1L 2L 3R","[KB]!"
"","3M","[KB]t"
"1","3M","[KB]<DownArrow>"
"","1R 3M","[KB]5"
"1","1R 3M","[KB]<F5>"
"","1M 3M","[KB]l"
"","1L 3M","[KB])"
"12","1R 3M","[KB]<L-Alt>%</L-Alt>"
"","2R 3M","[KB]it"
"","1M 2R 3M","[KB]li"
"","2M 3M","[KB]te"
"","1R 2M 3M","[KB]."
"1","1R 2M 3M","[KB]<F11>"
"","1M 2M 3M","[KB]p"
"","1L 2M 3M","[KB]]"
"","2L 3M","[KB]to"
"","1R 2L 3M","[KB]+"
"","1M 2L 3M","[KB]lo"
"","1L 2L 3M","[KB]?"
"","3L","[KB]r"
"1","3L","[KB]<Home>"
"","1R 3L","[KB]6"
"1","1R 3L","[KB]<F6>"
"","1M 3L","[KB]w"
"","1L 3L","[KB],"
"12","1R 3L","[KB]<L-Alt>^</L-Alt>"
"","2R 3L","[KB]ir"
"","2M 3L","[KB]er"
"","1R 2M 3L","[KB]&"
"","1M 2M 3L","[KB]rd"
"","1L 2M 3L","[KB]\"
"","2L 3L","[KB]or"
"","1R 2L 3L","[KB]-"
"1","1R 2L 3L","[KB]<F12>"
"","1M 2L 3L","[KB]v"
"","1L 2L 3L","[KB];"
"","4R","[KB]a"
"1","4R","[KB]<PageDown>"
"","1R 4R","[KB]7"
"1","1R 4R","[KB]<F7>"
"","1M 4R","[KB]g"
"","1L 4R","[KB]'"
"12","1R 4R","[KB]<L-Alt>&</L-Alt>"
"","2R 4R","[KB]ai"
"","2M 4R","[KB]ea"
"","1R 2M 4R","[KB]^"
"","1L 2M 4R","[KB]%"
"","2L 4R","[KB]oa"
"","1R 2L 4R","[KB]%"
"","1L 2L 4R","[KB]~"
"","3R 4R","[KB]an"
"1","3R 4R","[KB]<NumLock>"
"","1R 3R 4R","[KB]<"
"","1M 3R 4R","[KB]j"
"","1L 3R 4R","[KB]{"
"12","1M 3R 4R","[KB]<L-Alt>J</L-Alt>"
"","2R 3R 4R","[KB]ain"
"","1M 2R 3R 4R","[KB]ing"
"","1M 2M 3R 4R","[KB]and"
"","1M 2L 3R 4R","[KB]ong"
"","3M 4R","[KB]at"
"","1M 3M 4R","[KB]al"
"","3L 4R","[KB]ar"
"","2M 3L 4R","[KB]are"
"","1M 2M 3L 4R","[KB]ard"
"14","4R","[SYS]Bluetooth Hosts: clear"
"","4M","[KB]h"
"1","4M","[KB]<Insert>"
"","1R 4M","[KB]8"
"1","1R 4M","[KB]<F8>"
"","1M 4M","[KB]m"
"","1L 4M","[KB]`"
"12","1R 4M","[KB]<L-Alt>*</L-Alt>"
"","2R 4M","[KB]hi"
"","1M 2R 4M","[KB]ch"
"","2M 4M","[KB]he"
"","1R 2M 4M","[KB]~"
"","1M 2M 4M","[KB]q"
"","1L 2M 4M","[KB]_"
"","2L 4M","[KB]ho"
"","1R 2L 4M","[KB]*"
"","1M 2L 4M","[KB]qu"
"","1L 2L 4M","[KB]#"
"","3R 4M","[KB]hn"
"","3M 4M","[KB]th"
"1","3M 4M","[KB]<CapsLock>"
"","1R 3M 4M","[KB]>"
"","1M 3M 4M","[KB]k"
"","1L 3M 4M","[KB]}"
"12","1M 3M 4M","[KB]<L-Alt>K</L-Alt>"
"","2M 3M 4M","[KB]the"
"","1L 2L 3M 4M","[KB]&"
"","3L 4M","[KB]hr"
"","1M 3L 4M","[KB]wh"
"","4L","[KB]s"
"1","4L","[KB]<End>"
"","1R 4L","[KB]9"
"1","1R 4L","[KB]<F9>"
"","1M 4L","[KB]y"
"","1L 4L","[KB]"""
"12","1R 4L","[KB]<L-Alt>(</L-Alt>"
"","2R 4L","[KB]is"
"","1M 2R 4L","[KB]cy"
"","2M 4L","[KB]es"
"","2L 4L","[KB]so"
"","1R 2L 4L","[KB]/"
"","1M 2L 4L","[KB]z"
"","1L 2L 4L","[KB]$"
"","3R 4L","[KB]ns"
"","3M 4L","[KB]st"
"","3L 4L","[KB]rs"
"1","3L 4L","[KB]<ScrollLock>"
"","1R 3L 4L","[KB]="
"","1M 3L 4L","[KB]x"
"","1L 3L 4L","[KB]:"
"","1L 2L 3L 4L","[KB]@"
"0","1R","[SYS]Print status to KB"
"0","1M","[SYS]LED: Battery Level"
"0","1L","[SYS]LED: KB Flags"
"023","","[SYS]Sleep Now"
"0","4R","[SYS]Bluetooth Hosts: cycle"
"0","4M","[SYS]Config: cycle"
"0","4L","[SYS]NAV Mode: cycle"
